!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
SHIFTER	ˈʃ ɪ f t ɝ
SHIFTING	ˈʃ ɪ f t ɪ ŋ
SHIFTLESS	ˈʃ ɪ f t l ɪ s
SHIFTS	ˈʃ ɪ f t s
SHIFTY	ˈʃ ɪ f t i
SHIGEKI	ʃ ɪ ˈg e ɪ k i
SHIGEKUNI	ˌʃ iː g ɪ ˈk uː n i
SHIGEO	ʃ ɪ ˈg e ɪ o ʊ
SHIGERU	ʃ ɪ ˈg e ɪ r uː
SHIGLEY	ˈʃ ɪ g l i
SHIH	ˈʃ iː
SHIHAN	ˈʃ iː ˌh ɑː n
SHIINA	ˈʃ iː n ə
SHIITE	ˈʃ iː ˌa ɪ t
SHIITES	ˈʃ iː ˌa ɪ t s
SHILEY	ˈʃ ɪ l i
SHILL	ˈʃ ɪ l
SHILLER	ˈʃ ɪ l ɝ
SHILLING	ˈʃ ɪ l ɪ ŋ
SHILLINGBURG	ˈʃ ɪ l ɪ ŋ b ɝ g
SHILLINGER	ˈʃ ɪ l ɪ n d ʒ ɝ
SHILLINGLAW	ˈʃ ɪ l ɪ ŋ ˌl ɔ
SHILLINGS	ˈʃ ɪ l ɪ ŋ z
SHILLINGTON	ˈʃ ɪ l ɪ ŋ t ə n
SHILOH	ˈʃ a ɪ l o ʊ
SHILTS	ˈʃ ɪ l t s
SHIM	ˈʃ ɪ m
SHIMA	ˈʃ iː m ə
SHIMABUKURO	ʃ iː m ɑː b uː ˈk ʊ r o ʊ
SHIMADA	ʃ iː ˈm ɑː d ə
SHIMBUN	ˈʃ ɪ m ˌb ə n
SHIMBUN	ˈʃ ɪ m ˌb uː n
SHIMEK	ˈʃ ɪ m ɪ k
SHIMEL	ˈʃ ɪ m ə l
SHIMER	ˈʃ a ɪ m ɝ
SHIMIZU	ʃ ɪ ˈm iː z uː
SHIMKO	ˈʃ ɪ m k o ʊ
SHIMKUS	ˈʃ ɪ m k ə s
SHIMMEL	ˈʃ ɪ m ə l
SHIMMER	ˈʃ ɪ m ɝ
SHIMMERED	ˈʃ ɪ m ɝ d
SHIMMERING	ˈʃ ɪ m ɝ ɪ ŋ
SHIMMERLIK	ˈʃ ɪ m ɝ l ɪ k
SHIMMERS	ˈʃ ɪ m ɝ z
SHIMMIN	ˈʃ ɪ m ɪ n
SHIMMY	ˈʃ ɪ m i
SHIMODA	ʃ ɪ ˈm o ʊ d ə
SHIMOGA	ʃ ɪ ˈm o ʊ g ə
SHIMOKAWA	ˌʃ ɪ m o ʊ ˈk ɑː w ə
SHIMON	ˈʃ iː m o ʊ n
SHIMON	ˈʃ iː m ə n
SHIMONE	ˈʃ iː m o ʊ n
SHIMP	ˈʃ ɪ m p
SHIN	ˈʃ ɪ n
SHINALL	ˈʃ ɪ n ə l
SHINAULT	ˈʃ ɪ n a ʊ l t
SHINBEIN	ˈʃ ɪ n ˌb a ɪ n
SHINBONE	ˈʃ ɪ n ˌb o ʊ n
SHINDIG	ˈʃ ɪ n d ɪ g
SHINDLE	ˈʃ ɪ n d ə l
SHINDLEDECKER	ˈʃ ɪ n d ə l d ɪ k ɝ
SHINDLER	ˈʃ ɪ n d l ɝ
SHINDLER'S	ˈʃ ɪ n d l ɝ z
SHINDOU	ˈʃ ɪ n ˌd o ʊ
SHINE	ˈʃ a ɪ n
SHINED	ˈʃ a ɪ n d
SHINER	ˈʃ a ɪ n ɝ
SHINES	ˈʃ a ɪ n z
SHING	ˈʃ ɪ ŋ
SHINGLE	ˈʃ ɪ ŋ g ə l
SHINGLEDECKER	ˈʃ ɪ ŋ g ə l d ɪ k ɝ
SHINGLER	ˈʃ ɪ ŋ l ɝ
SHINGLES	ˈʃ ɪ ŋ g ə l z
SHINGLETON	ˈʃ ɪ ŋ g ə l t ə n
SHINICHI	ʃ ɪ ˈn iː t ʃ i
SHINING	ˈʃ a ɪ n ɪ ŋ
SHINKLE	ˈʃ ɪ ŋ k ə l
SHINKO	ˈʃ ɪ ŋ k o ʊ
SHINN	ˈʃ ɪ n
SHINNERS	ˈʃ ɪ n ɝ z
SHINNICK	ˈʃ ɪ n ɪ k
SHINRI	ˈʃ ɪ n r i
SHINRIKYO	ʃ ɪ n ˈr iː k j o ʊ
SHINSEI	ʃ ɪ n ˈs e ɪ
SHINSKY	ˈʃ ɪ n s k i
SHINTARO	ʃ ɪ n ˈt ɑː r o ʊ
SHINTO	ˈʃ ɪ n ˌt o ʊ
SHINWA	ˈʃ ɪ n w ə
SHINXIAKU	ˌʃ ɪ n t ʃ ˈj ɑː k uː
SHINY	ˈʃ a ɪ n i
SHINYUKA	ˌʃ ɪ n ˈj uː k ə
SHIONG	ˈʃ iː ɔ ŋ
SHIONOGI	ˌʃ iː ə ˈn o ʊ g i
SHIP	ˈʃ ɪ p
SHIP'S	ˈʃ ɪ p s
SHIPBOARD	ˈʃ ɪ p ˌb ɔ r d
SHIPBUILDER	ˈʃ ɪ p ˌb ɪ l d ɝ
SHIPBUILDERS	ˈʃ ɪ p ˌb ɪ l d ɝ z
SHIPBUILDING	ˈʃ ɪ p ˌb ɪ l d ɪ ŋ
SHIPBUILDINGS	ˈʃ ɪ p ˌb ɪ l d ɪ ŋ z
SHIPE	ˈʃ a ɪ p
SHIPES	ˈʃ a ɪ p s
SHIPHOLDING	ˈʃ ɪ p ˌh o ʊ l d ɪ ŋ
SHIPLETT	ˈʃ ɪ p l ɪ t
SHIPLEY	ˈʃ ɪ p l i
SHIPLOAD	ˈʃ ɪ ˌp l o ʊ d
SHIPLOADS	ˈʃ ɪ ˌp l o ʊ d z
SHIPMAN	ˈʃ ɪ p m ə n
SHIPMATE	ˈʃ ɪ p ˌm e ɪ t
SHIPMATES	ˈʃ ɪ p ˌm e ɪ t s
SHIPMENT	ˈʃ ɪ p m ə n t
SHIPMENTS	ˈʃ ɪ p m ə n t s
SHIPOWNER	ˈʃ ɪ ˌp o ʊ n ɝ
SHIPOWNERS	ˈʃ ɪ ˌp o ʊ n ɝ z
SHIPP	ˈʃ ɪ p
SHIPP'S	ˈʃ ɪ p s
SHIPPED	ˈʃ ɪ p t
SHIPPEE	ˈʃ ɪ ˈp iː
SHIPPER	ˈʃ ɪ p ɝ
SHIPPER'S	ˈʃ ɪ p ɝ z
SHIPPERS	ˈʃ ɪ p ɝ z
SHIPPEY	ˈʃ ɪ p i
SHIPPING	ˈʃ ɪ p ɪ ŋ
SHIPPINGPORT	ˈʃ ɪ p ɪ ŋ ˌp ɔ r t
SHIPPS	ˈʃ ɪ p s
SHIPPY	ˈʃ ɪ p i
SHIPS	ˈʃ ɪ p s
SHIPS'	ˈʃ ɪ p s
SHIPSHAPE	ˈʃ ɪ p ˌʃ e ɪ p
SHIPTON	ˈʃ ɪ p t ə n
SHIPWASH	ˈʃ ɪ p ˌw ɑː ʃ
SHIPWRECK	ˈʃ ɪ p r ɛ k
SHIPWRIGHT	ˈʃ ɪ ˌp r a ɪ t
SHIPWRIGHTS	ˈʃ ɪ ˌp r a ɪ t s
SHIPYARD	ˈʃ ɪ ˌp j ɑː r d
SHIPYARD'S	ˈʃ ɪ ˌp j ɑː r d z
SHIPYARDS	ˈʃ ɪ ˌp j ɑː r d z
SHIR	ˈʃ ɝː
SHIRA	ˈʃ ɪ r ə
SHIRAH	ˈʃ ɪ r ə
SHIRAISHI	ʃ ɪ r ɑː ˈiː ʃ i
SHIRAZI	ʃ ɪ ˈr ɑː z i
SHIRE	ˈʃ a ɪ r
SHIRELL	ʃ ɪ ˈr ɛ l
SHIRELLE	ʃ ɪ ˈr ɛ l
SHIREMAN	ʃ ɪ ˈr e ɪ m ə n
SHIREMANSTOWN	ˈʃ a ɪ r m ə n z ˌt a ʊ n
SHIRER	ˈʃ a ɪ ɝ r
SHIRES	ˈʃ a ɪ r z
SHIREY	ˈʃ a ɪ r i
SHIRIN	ˈʃ ɪ r ə n
SHIRK	ˈʃ ɝː k
SHIRKED	ˈʃ ɝː k t
SHIRKEY	ˈʃ ɝː k i
SHIRKING	ˈʃ ɝː k ɪ ŋ
SHIRL	ˈʃ ɝː l
SHIRLEE	ˈʃ ɝː l i
SHIRLEEN	ʃ ɝ ˈl iː n
SHIRLENE	ˈʃ ɝː l iː n
SHIRLEY	ˈʃ ɝː l i
SHIRLEY'S	ˈʃ ɝː l iː z
SHIRLIE	ˈʃ ɝː l i
SHIROMA	ʃ ɪ ˈr o ʊ m ə
SHIRONE	ʃ ɪ ˈr o ʊ n
SHIRR	ˈʃ ɝː
SHIRRELL	ˌʃ ɝː ˈɛ l
SHIRT	ˈʃ ɝː t
SHIRTED	ˈʃ ɝː t ə d
SHIRTING	ˈʃ ɝː t ɪ ŋ
SHIRTS	ˈʃ ɝː t s
SHIRTSLEEVE	ˈʃ ɝː t ˌs l iː v
SHISEIDO	ʃ ɪ ˈs e ɪ d o ʊ
SHISHIDO	ʃ iː ˈʃ iː d o ʊ
SHISLER	ˈʃ ɪ s ə l ɝ
SHISLER	ˈʃ ɪ s l ɝ
SHISSLER	ˈʃ ɪ s l ɝ
SHIT	ˈʃ ɪ t
SHITHEAD	ˈʃ ɪ t ˌh ɛ d
SHITHOLE	ˈʃ ɪ t ˌh o ʊ l
SHITILA	ʃ ə ˈt ɪ l ə
SHITS	ˈʃ ɪ t
SHITSTORM	ˈʃ ɪ t ˌs t ɔ r m
SHITTING	ˈʃ ɪ t ɪ ŋ
SHITTY	ˈʃ ɪ ˌt iː
SHIU	ˈʃ uː
SHIVA	ˈʃ iː v ə
SHIVE	ˈʃ a ɪ v
SHIVELEY	ˈʃ ɪ v ɪ l i
SHIVELEY	ˈʃ ɪ v l i
SHIVELY	ˈʃ a ɪ v l i
SHIVER	ˈʃ ɪ v ɝ
SHIVERDECKER	ˈʃ ɪ v ɝ d ɪ k ɝ
SHIVERED	ˈʃ ɪ v ɝ d
SHIVERING	ˈʃ ɪ v ɝ ɪ ŋ
SHIVERS	ˈʃ ɪ v ɝ z
SHIVES	ˈʃ a ɪ v z
SHIVLEY	ˈʃ ɪ v l i
SHIYUAN	ˈʃ iː uː ɑː n
SHIZUKA	ʃ ɪ ˈz uː k ə
SHIZUOKA	ʃ iː z ˈw o ʊ k ə
SHLAES	ˈʃ l e ɪ z
SHLENKER	ˈʃ l ɛ ŋ k ɝ
SHLOBIDAN	ʃ l o ʊ ˈb ɪ d ə n
SHMOOZE	ˈʃ m uː z
SHMOOZER	ˈʃ m uː z ɝ
SHMOOZING	ˈʃ m uː z ɪ ŋ
SHMYREV	ˈʃ m iː ˌr ɛ v
SHOAF	ˈʃ o ʊ f
SHOAFF	ˈʃ o ʊ f
SHOALS	ˈʃ o ʊ l z
SHOBANA	ˌʃ o ʊ ˈb ɑː n ə
SHOBANA'S	ˌʃ o ʊ ˈb ɑː n ə z
SHOBANNA	ˌʃ o ʊ ˈb ɑː n ə
SHOBANNA'S	ˌʃ o ʊ ˈb ɑː n ə z
SHOBE	ˈʃ o ʊ b
SHOBER	ˈʃ o ʊ b ɝ
SHOBERG	ˈʃ o ʊ b ɝ g
SHOBERT	ˈʃ ɑː b ɝ t
SHOCK	ˈʃ ɑː k
SHOCKED	ˈʃ ɑː k t
SHOCKER	ˈʃ ɑː k ɝ
SHOCKEY	ˈʃ ɑː k i
SHOCKING	ˈʃ ɑː k ɪ ŋ
SHOCKINGLY	ˈʃ ɑː k ɪ ŋ l i
SHOCKLEY	ˈʃ ɑː k l i
SHOCKS	ˈʃ ɑː k s
SHOCKWAVE	ˈʃ ɑː ˌk w e ɪ v
SHOCKWAVES	ˈʃ ɑː ˌk w e ɪ v z
SHOD	ˈʃ ɑː d
SHODDY	ˈʃ ɑː d i
SHOE	ˈʃ uː
SHOE'S	ˈʃ uː z
SHOEBOX	ˈʃ uː b ɑː k s
SHOEHORN	ˈʃ uː ˌh ɔ r n
SHOEHORNED	ˈʃ uː h ɔ r n d
SHOELACE	ˈʃ uː ˌl e ɪ s
SHOELACES	ˈʃ uː ˌl e ɪ s ɪ z
SHOEMAKE	ˈʃ uː ˌm e ɪ k
SHOEMAKER	ˈʃ uː ˌm e ɪ k ɝ
SHOEMAKERS	ˈʃ uː ˌm e ɪ k ɝ z
SHOEMATE	ˈʃ uː ˌm e ɪ t
SHOEN	ˈʃ uː n
SHOEPRINT	ˈʃ uː ˌp r ɪ n t
SHOEPRINTS	ˈʃ uː ˌp r ɪ n t s
SHOES	ˈʃ uː z
SHOESHINE	ˈʃ uː ˌʃ a ɪ n
SHOESTRING	ˈʃ uː ˌs t r ɪ ŋ
SHOFF	ˈʃ ɔ f
SHOFFNER	ˈʃ ɔ f n ɝ
SHOFNER	ˈʃ ɑː f n ɝ
SHOGREN	ˈʃ ɑː g r ɛ n
SHOGUN	ˈʃ o ʊ g ə n
SHOHAT	ˈʃ o ʊ h æ t
SHOICHI	ʃ o ʊ ˈiː t ʃ i
SHOICHIRO	ˌʃ o ʊ ɪ ˈt ʃ ɪ r o ʊ
SHOJI	ˈʃ o ʊ d ʒ i
SHOKHIN	ˈʃ o ʊ ˌk ɪ n
SHOKO	ˈʃ o ʊ k o ʊ
SHOLAR	ˈʃ o ʊ l ɝ
SHOLEM	ˈʃ o ʊ l ə m
SHOLES	ˈʃ o ʊ l z
SHOLL	ˈʃ ɑː l
SHOLLENBERGER	ˈʃ ɑː l ə n b ɝ g ɝ
SHOLLY	ˈʃ ɑː l i
SHOLTIS	ˈʃ o ʊ l t ɪ s
SHOLTO	ˈʃ o ʊ l t o ʊ
SHOMAKER	ˈʃ o ʊ ˌm e ɪ k ɝ
SHOMO	ˈʃ o ʊ m o ʊ
SHON	ˈʃ ɑː n
SHONA	ˈʃ o ʊ n ə
SHONE	ˈʃ o ʊ n
SHONEY	ˈʃ o ʊ n i
SHONEY'S	ˈʃ o ʊ n iː z
SHONK	ˈʃ ɑː ŋ k
SHONKA	ˈʃ ɑː ŋ k ə
SHONKWILER	ˈʃ ɑː ŋ ˌk w a ɪ l ɝ
SHONTZ	ˈʃ ɑː n t s
SHOO	ˈʃ uː
SHOOB	ˈʃ uː b
SHOOED	ˈʃ uː d
SHOOFLY	ˈʃ uː ˌf l a ɪ
SHOOK	ˈʃ ʊ k
SHOOP	ˈʃ uː p
SHOOPMAN	ˈʃ uː p m ə n
SHOOSHAN	ˈʃ uː ʃ ə n
SHOOT	ˈʃ uː t
SHOOTDOWN	ˈʃ uː t ˌd a ʊ n
SHOOTER	ˈʃ uː t ɝ
SHOOTER'S	ˈʃ uː t ɝ z
SHOOTERS	ˈʃ uː t ɝ z
SHOOTIN'	ˈʃ uː t ɪ n
SHOOTING	ˈʃ uː t ɪ ŋ
SHOOTINGS	ˈʃ uː t ɪ ŋ z
SHOOTOUT	ˈʃ uː t a ʊ t
SHOOTOUTS	ˈʃ uː t a ʊ t s
SHOOTS	ˈʃ uː t s
SHOP	ˈʃ ɑː p
SHOP'S	ˈʃ ɑː p s
SHOPE	ˈʃ o ʊ p
SHOPKEEPER	ˈʃ ɑː p ˌk iː p ɝ
SHOPKEEPER'S	ˈʃ ɑː p ˌk iː p ɝ z
SHOPKEEPERS	ˈʃ ɑː p ˌk iː p ɝ z
SHOPKO	ˈʃ ɑː p k o ʊ
SHOPKORN	ˈʃ ɑː p ˌk ɔ r n
SHOPLIFT	ˈʃ ɑː ˌp l ɪ f t
SHOPLIFTER	ˈʃ ɑː ˌp l ɪ f t ɝ
SHOPLIFTERS	ˈʃ ɑː ˌp l ɪ f t ɝ z
SHOPLIFTING	ˈʃ ɑː ˌp l ɪ f t ɪ ŋ
SHOPLIFTS	ˈʃ ɑː ˌp l ɪ f t s
SHOPPE	ˈʃ ɑː p
SHOPPED	ˈʃ ɑː p t
SHOPPER	ˈʃ ɑː p ɝ
SHOPPER'S	ˈʃ ɑː p ɝ z
SHOPPERS	ˈʃ ɑː p ɝ z
SHOPPERS'	ˈʃ ɑː p ɝ z
SHOPPES	ˈʃ ɑː p s
SHOPPING	ˈʃ ɑː p ɪ ŋ
SHOPPING'S	ˈʃ ɑː p ɪ ŋ z
SHOPS	ˈʃ ɑː p s
SHOPTAW	ˈʃ ɑː p t ɔ
SHOPWELL	ˈʃ ɑː p ˌw ɛ l
SHOPWORN	ˈʃ ɑː p ˌw ɔ r n
SHOR	ˈʃ ɔ r
SHORB	ˈʃ ɔ r b
SHORE	ˈʃ ɔ r
SHORE'S	ˈʃ ɔ r z
SHOREBIRD	ˈʃ ɔ r ˌb ɝː d
SHORED	ˈʃ ɔ r d
SHOREHAM	ˈʃ ɔ r ə m
SHOREHAM	ˈʃ ɔ r ˌh æ m
SHORELINE	ˈʃ ɔ r ˌl a ɪ n
SHORENSTEIN	ˈʃ ɔ r ə n s t iː n
SHORENSTEIN	ˈʃ ɔ r ə n s t a ɪ n
SHORES	ˈʃ ɔ r z
SHOREWARD	ˈʃ ɔ r w ɝ d
SHOREY	ˈʃ ɔ r i
SHORIN	ˈʃ ɔ r ɪ n
SHORING	ˈʃ ɔ r ɪ ŋ
SHORKEY	ˈʃ ɔ r k i
SHORN	ˈʃ ɔ r n
SHORR	ˈʃ ɔ r
SHORT	ˈʃ ɔ r t
SHORT-LIVED	ˌʃ ɔ r t ˈl ɪ v d
SHORT-SIGHTED	ˌʃ ɔ r t ˈs a ɪ t ə d
SHORT-TERM	ˌʃ ɔ r t ˈt ɝː m
SHORT-WINDED	ˈʃ ɔ r ˈt w ɪ n d ɪ d
SHORTAGE	ˈʃ ɔ r t ə d ʒ
SHORTAGE	ˈʃ ɔ r t ɪ d ʒ
SHORTAGES	ˈʃ ɔ r t ə d ʒ ə z
SHORTAGES	ˈʃ ɔ r t ɪ d ʒ ɪ z
SHORTALL	ˈʃ ɔ r t ə l
SHORTCAKE	ˈʃ ɔ r t ˌk e ɪ k
SHORTCHANGE	ˌʃ ɔ r t ˈt ʃ e ɪ n d ʒ
SHORTCHANGED	ˌʃ ɔ r t ˈt ʃ e ɪ n d ʒ d
SHORTCHANGING	ˌʃ ɔ r t ˈt ʃ e ɪ n d ʒ ɪ ŋ
SHORTCOMING	ˈʃ ɔ r t ˌk ə m ɪ ŋ
SHORTCOMINGS	ˈʃ ɔ r t ˌk ə m ɪ ŋ z
SHORTCUT	ˈʃ ɔ r t ˌk ə t
SHORTCUTS	ˈʃ ɔ r t ˌk ə t s
SHORTED	ˈʃ ɔ r t ɪ d
SHORTELL	ʃ ɔ r ˈt ɛ l
SHORTEN	ˈʃ ɔ r t ə n
SHORTENED	ˈʃ ɔ r t ə n d
SHORTENING	ˈʃ ɔ r t ə n ɪ ŋ
SHORTENING	ˈʃ ɔ r t n ɪ ŋ
SHORTENS	ˈʃ ɔ r t ə n z
SHORTER	ˈʃ ɔ r t ɝ
SHORTER'S	ˈʃ ɔ r t ɝ z
SHORTEST	ˈʃ ɔ r t ɪ s t
SHORTFALL	ˈʃ ɔ r t ˌf ɔ l
SHORTFALLS	ˈʃ ɔ r t ˌf ɔ l z
SHORTGRASS	ˈʃ ɔ r t ˌg r æ s
SHORTHAIR	ˈʃ ɔ r t ˌh ɛ r
SHORTHAIRED	ˈʃ ɔ r t ˌh ɛ r d
SHORTHAND	ˈʃ ɔ r t ˌh æ n d
SHORTING	ˈʃ ɔ r t ɪ ŋ
SHORTLIVED	ˈʃ ɔ r t ˈl ɪ v d
SHORTLIVED	ˈʃ ɔ r t ˈl a ɪ v d
SHORTLY	ˈʃ ɔ r t l i
SHORTNESS	ˈʃ ɔ r t n ə s
SHORTRIDGE	ˈʃ ɔ r t r ɪ d ʒ
SHORTS	ˈʃ ɔ r t s
SHORTS'	ˈʃ ɔ r t s
SHORTSIGHTED	ˈʃ ɔ r t ˈs a ɪ t ɪ d
SHORTSIGHTEDNESS	ˈʃ ɔ r t ˈs a ɪ t ɪ d n ɪ s
SHORTSTOP	ˈʃ ɔ r t ˌs t ɑː p
SHORTT	ˈʃ ɔ r t
SHORTTERM	ˈʃ ɔ r t ˌt ɝː m
SHORTWAVE	ˈʃ ɔ r ˈt w e ɪ v
SHORTY	ˈʃ ɔ r t i
SHORTZ	ˈʃ ɔ r t s
SHORTZ'	ˈʃ ɔ r t s
SHORTZ'S	ˈʃ ɔ r t s ɪ z
SHOSH	ˈʃ o ʊ ʃ
SHOSHONE	ʃ o ʊ ˈʃ o ʊ n i
SHOSTAK	ˈʃ ɑː s t ə k
SHOSTAKOVICH	ˌʃ ɔ s t ə ˈk o ʊ v ɪ t ʃ
SHOT	ˈʃ ɑː t
SHOTGUN	ˈʃ ɑː t ˌg ə n
SHOTGUNS	ˈʃ ɑː t ˌg ə n z
SHOTS	ˈʃ ɑː t s
SHOTT	ˈʃ ɑː t
SHOTTS	ˈʃ ɑː t s
SHOTWELL	ˈʃ ɑː ˌt w ɛ l
SHOUGANG	ˈʃ a ʊ ˈg ɑː ŋ
SHOUGH	ˈʃ a ʊ
SHOULD	ˈʃ ʊ d
SHOULD'VE	ˈʃ ʊ d ə v
SHOULDER	ˈʃ o ʊ l d ɝ
SHOULDERED	ˈʃ o ʊ l d ɝ d
SHOULDERING	ˈʃ o ʊ l d ɝ ɪ ŋ
SHOULDERS	ˈʃ o ʊ l d ɝ z
SHOULDN'T	ˈʃ ʊ d ə n t
SHOULI	ˈʃ uː l i
SHOULTS	ˈʃ o ʊ l t s
SHOULTZ	ˈʃ o ʊ l t s
SHOUMAKER	ˈʃ uː ˌm e ɪ k ɝ
SHOUN	ˈʃ a ʊ n
SHOUP	ˈʃ uː p
SHOUPE	ˈʃ uː p
SHOUSE	s ˈh a ʊ s
SHOUT	ˈʃ a ʊ t
SHOUTED	ˈʃ a ʊ t ə d
SHOUTED	ˈʃ a ʊ t ɪ d
SHOUTING	ˈʃ a ʊ t ɪ ŋ
SHOUTS	ˈʃ a ʊ t s
SHOVAL	ˈʃ o ʊ v æ l
SHOVE	ˈʃ ʌ v
SHOVED	ˈʃ ʌ v d
SHOVEL	ˈʃ ʌ v ə l
SHOVELED	ˈʃ ʌ v ə l d
SHOVELING	ˈʃ ʌ v l ɪ ŋ
SHOVELS	ˈʃ ʌ v ə l z
SHOVER	ˈʃ ʌ v ɝ
SHOVES	ˈʃ ʌ v z
SHOVING	ˈʃ ʌ v ɪ ŋ
SHOVLIN	ˈʃ ɑː v l ɪ n
SHOW	ˈʃ o ʊ
SHOW'S	ˈʃ o ʊ z
SHOWA	ˈʃ o ʊ ə
SHOWALTER	ˈʃ o ʊ ə l t ɝ
SHOWBIZ	ˈʃ o ʊ b ɪ z
SHOWBOAT	ˈʃ o ʊ ˌb o ʊ t
SHOWBOAT'S	ˈʃ o ʊ ˌb o ʊ t s
SHOWBUZZ	ˈʃ o ʊ ˌb ə z
SHOWCASE	ˈʃ o ʊ ˌk e ɪ s
SHOWCASED	ˈʃ o ʊ ˌk e ɪ s t
SHOWCASES	ˈʃ o ʊ ˌk e ɪ s ɪ z
SHOWCASING	ˈʃ o ʊ k e ɪ s ɪ ŋ
SHOWDOWN	ˈʃ o ʊ ˌd a ʊ n
SHOWDOWNS	ˈʃ o ʊ ˌd a ʊ n z
SHOWED	ˈʃ o ʊ d
SHOWELL	ˈʃ ɑː w ɛ l
SHOWER	ˈʃ a ʊ ɝ
SHOWERED	ˈʃ a ʊ ɝ d
SHOWERING	ˈʃ a ʊ ɝ ɪ ŋ
SHOWERS	ˈʃ a ʊ ɝ z
SHOWGIRL	ˈʃ o ʊ ˌg ɝː l
SHOWGIRLS	ˈʃ o ʊ ˌg ɝː l z
SHOWIEST	ˈʃ o ʊ iː ə s t
SHOWING	ˈʃ o ʊ ɪ ŋ
SHOWINGS	ˈʃ o ʊ ɪ ŋ z
SHOWMAN	ˈʃ o ʊ m ə n
SHOWMANSHIP	ˈʃ o ʊ m ə n ˌʃ ɪ p
SHOWN	ˈʃ o ʊ n
SHOWPIECE	ˈʃ o ʊ ˌp iː s
SHOWPLACE	ˈʃ o ʊ ˌp l e ɪ s
SHOWROOM	ˈʃ o ʊ ˌr ʊ m
SHOWROOM	ˈʃ o ʊ ˌr uː m
SHOWROOMS	ˈʃ o ʊ ˌr uː m z
SHOWS	ˈʃ o ʊ z
SHOWS'	ˈʃ o ʊ z
SHOWSCAN	ˈʃ o ʊ ˌs k æ n
SHOWTIME	ˈʃ o ʊ ˌt a ɪ m
SHOWTIME'S	ˈʃ o ʊ ˌt a ɪ m z
SHOWY	ˈʃ o ʊ i
SHRADER	ˈʃ r e ɪ d ɝ
SHRAKE	ˈʃ r e ɪ k
SHRAMEK	ˈʃ r æ m ɪ k
SHRANK	ˈʃ r æ ŋ k
SHRAPNEL	ˈʃ r æ p n ə l
SHRECK	ˈʃ r ɛ k
SHRED	ˈʃ r ɛ d
SHREDDED	ˈʃ r ɛ d ə d
SHREDDED	ˈʃ r ɛ d ɪ d
SHREDDER	ˈʃ r ɛ d ɝ
SHREDDERS	ˈʃ r ɛ d ɝ z
SHREDDING	ˈʃ r ɛ d ɪ ŋ
SHREDS	ˈʃ r ɛ d z
SHREEVE	ˈʃ r iː v
SHREFFLER	ˈʃ r ɛ f l ɝ
SHREIBER	ˈʃ r a ɪ b ɝ
SHREINER	ˈʃ r a ɪ n ɝ
SHREK	ˈʃ r ɛ k
SHREVE	ˈʃ r iː v
SHREVEPORT	ˈʃ r iː v ˌp ɔ r t
SHREVES	ˈʃ r iː v z
SHREWD	ˈʃ r uː d
SHREWDEST	ˈʃ r uː d ə s t
SHREWDLY	ˈʃ r uː d l i
SHREWDNESS	ˈʃ r uː d n ə s
SHREWSBERRY	ˈʃ r uː z ˌb ɛ r i
SHREWSBURY	ˈʃ r uː z ˌb ɛ r i
SHRI	ˈʃ r iː
SHRIBER	ˈʃ r a ɪ b ɝ
SHRIBMAN	ˈʃ r ɪ b m ə n
SHRIDER	ˈʃ r a ɪ d ɝ
SHRIEK	ˈʃ r iː k
SHRIEKED	ˈʃ r iː k t
SHRIEKING	ˈʃ r iː k ɪ ŋ
SHRIEKS	ˈʃ r iː k s
SHRIFT	ˈʃ r ɪ f t
SHRIKANT	ˌʃ r iː ˈk ɑː n t
SHRIKELIKE	ˈʃ r a ɪ ˌk l a ɪ k
SHRILL	ˈʃ r ɪ l
SHRIMP	ˈʃ r ɪ m p
SHRIMPER	ˈʃ r ɪ m p ɝ
SHRIMPERS	ˈʃ r ɪ m p ɝ z
SHRINE	ˈʃ r a ɪ n
SHRINER	ˈʃ r a ɪ n ɝ
SHRINERS	ˈʃ r a ɪ n ɝ z
SHRINES	ˈʃ r a ɪ n z
SHRINK	ˈʃ r ɪ ŋ k
SHRINKAGE	ˈʃ r ɪ ŋ k ɪ d ʒ
SHRINKING	ˈʃ r ɪ ŋ k ɪ ŋ
SHRINKS	ˈʃ r ɪ ŋ k s
SHRIVEL	ˈʃ r ɪ v ə l
SHRIVELED	ˈʃ r ɪ v ə l d
SHRIVELING	ˈʃ r ɪ v ə l ɪ ŋ
SHRIVELING	ˈʃ r ɪ v l ɪ ŋ
SHRIVER	ˈʃ r a ɪ v ɝ
SHROCK	ˈʃ r ɑː k
SHRODE	ˈʃ r o ʊ d
SHROFF	ˈʃ r ɔ f
SHRONTZ	ˈʃ r ɑː n t s
SHROPSHIRE	ˈʃ r ɑː p ˌʃ a ɪ r
SHROUD	ˈʃ r a ʊ d
SHROUDED	ˈʃ r a ʊ d ɪ d
SHROUDING	ˈʃ r a ʊ d ɪ ŋ
SHROUDS	ˈʃ r a ʊ d z
SHROUT	ˈʃ r a ʊ t
SHROYER	ˈʃ r ɔ ɪ ɝ
SHRUB	ˈʃ r ʌ b
SHRUBBERY	ˈʃ r ʌ b ɝ i
SHRUBBY	ˈʃ r ʌ b i
SHRUBLIKE	ˈʃ r ʌ ˌb l a ɪ k
SHRUBS	ˈʃ r ʌ b z
