1/2	h ˈɑ f
screens	s k ɹ ˈi n z
screw	s k ɹ ˈu
screws	s k ɹ ˈu z
scribble	s k ɹ ɪ b l
scribbling	s k ɹ ɪ b l ˌi ŋ
scroll	s k ɹ ˈo ʊ l
scrub	s k ɹ ˈʌ b
scrubby	s k ɹ ˈʌ b b i
scrubfowl	s k ɹ ˈʌ b f ˈa ʊ l
scrubs	s k ɹ ˈʌ b z
scuffling	s k ˈʌ f ə l ɪ ŋ
sculpt	s k ʌ l p t
scurry	s k ˈɚ ɹ i
scuttle	s k ˈʌ t ə l
scuttles	s k ˈʌ t l z
sd	ˈɛ s d ˈi
sea	s ˈi
seabed	s ˈi b ˌɛ d
seahorses	s ˈi h ˈɑ s ɪ z
seal	s ˈi l
seam	s ˈi m
search	s ˈɚ t͡ʃ
searched	s ˈɚ t͡ʃ t
searches	s ˈɚ t͡ʃ ɪ z
searching	s ˈɚ t͡ʃ ɪ ŋ
seas	s ˈi z
seaside	s ˈi s ˈa ɪ d
season	s ˈi z ə n
seat	s ˈi t
seated	s ˈi t ɪ d
seats	s ˈi t s
seawater	s ˈi w ˌɔ t ɚ
seaweed	s ˈi w ˌi d
seblat	s ə b l ˈæ t
second	s ˈɛ k ə n d
secondary	s ˈɛ k ə n d ˌɛ ɹ i
secondly	s ˈɛ k ə n d l i
seconds	s ˈɛ k ə n d z
secret	s ˈi k ɹ ɪ t
secrete	s ɪ k ɹ ˈi t
section	s ˈɛ k ʃ ə n
sections	s ˈɛ k ʃ ə n z
secure	s ɪ k j ˈʊ ɹ
security	s ɪ k j ˈʊ ɹ ɪ t i
see	s ˈi
seed	s ˈi d
seedling	s ˈi d l ɪ ŋ
seedlings	s ˈi d l ɪ ŋ z
seedpods	s ˈi d p ˌɑ d z
seeds	s ˈi d z
seeing	s ˈi ɪ ŋ
seek	s ˈi k
seeking	s ˈi k ɪ ŋ
seem	s ˈi m
seemed	s ˈi m d
seems	s ˈi m z
seen	s ˈi n
sees	s ˈi z
segment	s ˌɛ ɡ m ˈɛ n t
segment	s ˈɛ ɡ m ə n t
segments	s ˌɛ ɡ m ˈɛ n t s
segments	s ˈɛ ɡ m ə n t s
seismic	s ˈa ɪ z m ɪ k
seize	s ˈi z
seized	s ˈi z d
seldom	s ˈɛ l d ə m
select	s ə l ˈɛ k t
selected	s ə l ɛ k t ə d
selects	s ə l ˈɛ k t s
self	s ˈɛ l f
self-awareness	s ɛ l f ə w ˈe ɪ ɹ n ə s
selfish	s ˈɛ l f ɪ ʃ
sell	s ˈɛ l
selling	s ˈɛ l ɪ ŋ
sen	s ˈɛ n
sen's	s ˈɛ n z
send	s ˈɛ n d
sending	s ˈɛ n d ɪ ŋ
sends	s ˈɛ n d z
sense	s ˈɛ n s
senses	s ˈɛ n s ə z
sensitive	s ˈɛ n s ɪ t ɪ v
sent	s ˈɛ n t
separate	s ˈɛ p ɚ ɹ ɪ t
separate	s ˈɛ p ɚ ɹ ˌe ɪ t
separate	s ˈɛ p ɚ ɹ ˌe ɪ t
separates	s ˈɛ p ɚ ɹ ˌe ɪ t s
separates	s ˈɛ p ɚ ɹ ɪ t s
serpent	s ˈɚ p ə n t
serpents	s ˈɚ p ə n t s
serrated	s ˈɛ ɹ ˌe ɪ t ɪ d
serve	s ˈɚ v
server	s ˈɚ v ɚ
serves	s ɚ v z
service	s ˈɚ v ɪ s
session	s ˈɛ ʃ ə n
set	s ˈɛ t
sets	s ˈɛ t s
setting	s ˈɛ t ɪ ŋ
settings	s ˈɛ t ɪ ŋ z
settle	s ˈɛ t ə l
settled	s ˈɛ t ə l d
settles	s ˈɛ t ə l z
setup	s ˈɛ t ˌʌ p
setups	s ˈɛ t ˌʌ p s
seven	s ˈɛ v ə n
seventeen	s ˈɛ v ə n t ˈi n
several	s ˈɛ v ɚ ɹ ə l
sewer	s ˈu w ɚ
sewing	s ˈo ʊ ɪ ŋ
sewn	s ˈo ʊ n
sh	ʃ
shabby	ʃ ˈæ b i
shack	ʃ ˈæ k
shade	ʃ ˈe ɪ d
shades	ʃ ˈe ɪ d z
shadow	ʃ ˈæ d o ʊ
shadows	ʃ ˈæ d o ʊ z
shadowy	ʃ ˈæ d o ʊ i
shaft	ʃ ˈæ f t
shaggy	ʃ ˈæ ɡ i
shake	ʃ ˈe ɪ k
shakes	ʃ ˈe ɪ k s
shaking	ʃ ˈe ɪ k ɪ ŋ
shall	ʃ ˈæ l
shallow	ʃ ˈæ l o ʊ
shallows	ʃ ˈæ l o ʊ z
shame	ʃ ˈe ɪ m
shape	ʃ ˈe ɪ p
shaped	ʃ ˈe ɪ p t
shapes	ʃ ˈe ɪ p s
shapeshifter	ʃ ˈe ɪ p ʃ ɪ f t ɚ
shapeshifters	ʃ ˈe ɪ p ʃ ɪ f t ɚ z
share	ʃ ˈɛ ɹ
shared	ʃ ˈɛ ɹ d
shares	ʃ ˈɛ ɹ z
sharing	ʃ ˈɛ ɹ ɪ ŋ
shark	ʃ ˈɑ ɹ k
sharks	ʃ ˈɑ ɹ k s
sharp	ʃ ˈɑ ɹ p
sharper	ʃ ˌɑ p ɹ
sharpest	ʃ ˈɑ ɹ p ə s t
sharpness	ʃ ˈɑ ɹ p n ə s
sharps	ʃ ˈɑ ɹ p s
shawl	ʃ ˈɔ l
shawn	ʃ ˈɔ n
shawns	ʃ ˈɔ n z
she	ʃ ˈi
she'd	ʃ ˈi d
she'll	ʃ ˈi l
she's	ʃ ˈi z
shears	ʃ ˈi ɹ z
shed	ʃ ˈɛ d
sheds	ʃ ˈɛ d z
sheep	ʃ ˈi p
sheepish	ʃ ˈi p ɪ ʃ
sheer	ʃ ˈɪ ɹ
sheet	ʃ ˈi t
sheets	ʃ ˈi t s
shelf	ʃ ˈɛ l f
shell	ʃ ˈɛ l
shells	ʃ ˈɛ l z
shelter	ʃ ˈɛ l t ɚ
shelves	ʃ ˈɛ l v z
shepherd	ʃ ˈɛ p ɚ d
shes	ʃ i z
shh	ʃ
shield	ʃ ˈi l d
shields	ʃ ˈi l d z
shies	ʃ ˈa ɪ z
shift	ʃ ˈɪ f t
shifts	ʃ ˈɪ f t s
shilling	ʃ ˈɪ l l ɪ ŋ
shine	ʃ ˈa ɪ n
shines	ʃ ˈa ɪ n z
shining	ʃ ˈa ɪ n ɪ ŋ
shiny	ʃ ˈa ɪ n i
ship	ʃ ˈɪ p
shipment	ʃ ˈɪ p m ə n t
shipping	ʃ ˈɪ p ɪ ŋ
ships	ʃ ˈɪ p s
shire	ʃ ˈa ɪ ɚ
shirt	ʃ ˈɚ t
shirts	ʃ ˈɚ t s
shiver	ʃ ˈɪ v ɚ
shock	ʃ ˈɑ k
shocked	ʃ ˈɑ k t
shocking	ʃ ˈɑ k ɪ ŋ
shoe	ʃ ˈu
shoemaker	ʃ ˈu m ˌe ɪ k ɚ
shoes	ʃ ˈu z
shone	ʃ ˈo ʊ n
shoo	ʃ ˈu
shook	ʃ ˈʊ k
shoot	ʃ ˈu t
shooting	ʃ ˈu t ɪ ŋ
shoots	ʃ ˈu t s
shop	ʃ ˈɑ p
shopkeeper	ʃ ˈɑ p k ˌi p ɚ
shopkeeper's	ʃ ˈɑ p k ˌi p ɚ z
shopkeepers	ʃ ˈɑ p k ˌi p ɚ z
shopping	ʃ ˈɑ p ɪ ŋ
shops	ʃ ˈɑ p s
shore	ʃ ˈɔ ɹ
short	ʃ ˈɔ ɹ t
shortages	ʃ ˈɔ ɹ t ɪ d͡ʒ ɪ z
shorter	ʃ ˈɔ ɹ t ə ɹ
shorts	ʃ ˈɔ ɹ t s
shot	ʃ ˈɑ t
should	ʃ ˈʊ d
shoulder	ʃ ˈo ʊ l d ɚ
shoulders	ʃ ˈo ʊ l d ɚ z
shouldn't	ʃ ˈʊ d ə n t
shouldnt	ʃ ˈa ʊ l d n t
shout	ʃ ˈa ʊ t
shouted	ʃ ˈa ʊ t ɪ d
shouting	ʃ ˈa ʊ t ˈɪ ŋ
shouts	ʃ ˈa ʊ t s
shove	ʃ ˈʌ v
shovel	ʃ ˈʌ v ə l
shoves	ʃ ˈɑ v z
shoving	ʃ ˈʌ v ɪ ŋ
show	ʃ ˈo ʊ
showed	ʃ ˈo ʊ d
shower	ʃ ˈa ʊ ɚ
showing	ʃ ˈo ʊ ɪ ŋ
shown	ʃ ˈo ʊ n
shows	ʃ ˈo ʊ z
shriek	ʃ ɹ ˈi k
shrieked	ʃ ɹ ˈi k t
shrieking	ʃ ɹ ˈi k ɪ ŋ
shrieks	ʃ ɹ ˈi k s
shrimp	ʃ ɹ ˈɪ m p
shrink	ʃ ɹ ˈɪ ŋ k
shrinks	ʃ ɹ ˈɪ ŋ k s
shrub	ʃ ɹ ˈʌ b
shrubs	ʃ ɹ ˈʌ b z
shrugged	t͡ʃ ɹ ʌ ɡ d
shrugs	ʃ ɹ ʌ ɡ z
shrunk	ʃ ɹ ˈʌ ŋ k
shrunken	ʃ ɹ ʌ n k ˈɛ n
shudder	ʃ ʌ d ʌ
shuffle	ˈʃ ʌ f ə l
shut	ʃ ˈʌ t
shuteye	ʃ ˈʌ t a ɪ
shuts	ʃ ˈʌ t s
shutting	ʃ ˈʌ t ɪ ŋ
shy	ʃ ˈa ɪ
siamese	s ˌa ɪ ə m ˈi z
siberian	s ˈa ɪ b ˈi ɹ i ə n
sick	s ˈɪ k
sickly	s ˈɪ k l i
sickness	s ˈɪ k n ə s
side	s ˈa ɪ d
side-by-side	s ˈa ɪ d b ˈa ɪ s ˈa ɪ d
sides	s ˈa ɪ d z
sideways	s ˈa ɪ d w ˌe ɪ z
sigh	s ˈa ɪ
sighed	s ˈa ɪ d
sighs	s ˈa ɪ z
sight	s ˈa ɪ t
sights	s ˈa ɪ t s
sign	s ˈa ɪ n
signal	s ˈɪ ɡ n ə l
signals	s ˈɪ ɡ n l z
signed	s ˈa ɪ n d
signs	s ˈa ɪ n z
silence	s ˈa ɪ l ə n s
silent	s ˈa ɪ l ə n t
silk	s ˈɪ l k
silky	s ˈɪ l k i
sill	s ˈɪ l
silly	s ˈɪ l i
silo	s ˈa ɪ l o ʊ
silver	s ˈɪ l v ɚ
silverfish	s ˈɪ l v ɚ f ɪ ʃ
similar	s ˈɪ m ɪ l ɚ
similarities	s ɪ m ɪ l ˈɛ ɹ ə t i z
similarity	s ˌɪ m ɪ l ˈɛ ɹ ə t i
simple	s ˈɪ m p ə l
simply	s ˈɪ m p l i
since	s ˈɪ n s
sincere	s ɪ n s ˈɪ ɹ
sing	s ˈɪ ŋ
singer	s ˈɪ ŋ ɡ ɚ
singers	s ˈɪ ŋ ɡ ɚ z
singing	s ˈɪ ŋ ɪ ŋ
single	s ˈɪ ŋ ɡ ə l
singles	s ˈɪ ŋ ɡ ə l z
sings	s ˈɪ ŋ z
sink	s ˈɪ ŋ k
sinking	s ˈɪ ŋ k ɪ ŋ
sinks	s ˈɪ ŋ k s
sinner	s ˈɪ n ɚ
sip	s ˈɪ p
sir	s ˈɚ
siren	s ˈa ɪ ɹ ə n
sirish	s ˈɪ ɹ ɪ ʃ
sis	s ˈɪ s
sister	s ˈɪ s t ɚ
sister's	s ˈɪ s t ɚ z
sisters	s ɪ s t ɚ z
sit	s ˈɪ t
sit's	s ˈɪ t s
sitar	s ɪ t ˈɑ ɹ
site	s ˈa ɪ t
sites	s a ɪ t s
sits	s ˈɪ t s
sitting	s ˈɪ t ɪ ŋ
situation	s ˌɪ t͡ʃ u e ɪ ʃ ə n
six	s ˈɪ k s
sixth	s ˈɪ k s θ
sixty	s ˈɪ k s t i
size	s ˈa ɪ z
sized	s ˈa ɪ z d
sizes	s ˈa ɪ z ɪ z
skateboard	s k ˈe ɪ t b ˌɔ ɹ d
skates	s k ˈe ɪ t s
skel	s k ˈɛ l
skel's	s k ɛ l z
skel's	s k ɛ l z
skeleton	s k ˈɛ l ə t ə n
skeletons	s k ˈɛ l ə t ə n z
sketch	s k ˈɛ t͡ʃ
sketches	s k ˈɛ t͡ʃ ɪ z
sketching	s k ˈɛ t͡ʃ ɪ ŋ
ski	s k ˈi
skies	s k ˈa ɪ z
skill	s k ˈɪ l
skills	s k ˈɪ l z
skin	s k ˈɪ n
skin's	s k ˈɪ n z
skink	s k ˈɪ ŋ k
skink's	s k ˈɪ ŋ k s
skinks	s k ɪ n k s
skinny	s k ˈɪ n i
skins	s k ˈɪ n z
skip	s k ˈɪ p
skirt	s k ˈɚ t
skittish	s k ˈɪ t ɪ ʃ
skull	s k ˈʌ l
skulls	s k ˈʌ l z
skunk	s k ˈʌ ŋ k
skunks	s k ˈʌ ŋ k s
sky	s k ˈa ɪ
skyline	s k ˈa ɪ l ˌa ɪ n
slabs	s l ˈæ b z
slack	s l ˈæ k
slain	s l ˈe ɪ n
slam	s l ˈæ m
slap	s l ˈæ p
slash	s l ˈæ ʃ
slashed	s l ˈæ ʃ t
slashes	s l ˈæ ʃ ɛ z
slaughter	s l ˈɔ t ɚ
slave	s l ˈe ɪ v
slavic	s l ˈɑ v ɪ k
slay	s l ˈe ɪ
slayed	s l ˈe ɪ d
slays	s l ˈe ɪ z
slee	s l ˈi p
sleek	s l ˈi k
sleep	s l ˈi p
sleeping	s l ˈi p ɪ ŋ
sleeps	s l ˈi p s
sleepy	s l ˈi p i
sleigh	s l ˈe ɪ
slender	s l ˈɛ n d ɚ
slept	s l ˈɛ p t
slice	s l ˈa ɪ s
slid	s l ˈɪ d
slide	s l ˈa ɪ d
slides	s l a ɪ d z
sliding	s l ˈa ɪ d ɪ ŋ
slightly	s l ˈa ɪ t l i
slim	s l ˈɪ m
slime	s l ˈa ɪ m
slimes	s l ˈa ɪ m z
sling	s l ˈɪ ŋ
slings	s l ˈɪ ŋ z
slingshot	s l ˈɪ ŋ ʃ ˌɑ t
slink	s l ˈɪ ŋ k
slinking	s l ˈɪ n k ˈi ŋ
slinks	s l ˈɪ ŋ k s
slip	s l ˈɪ p
slipped	s l ˈɪ p t
slipper	s l ˈɪ p ɚ
slippers	s l ˈɪ p ɚ z
slippery	s l ˈɪ p ɚ ɹ i
slipping	s l ɪ p ɪ ŋ
slips	s l ˈɪ p s
slit	s l ˈɪ t
slither	s l ˈɪ ð ɚ
slithering	s l ˈɪ ð ɚ ɹ ɪ ŋ
slithers	s l ˈɪ ð ɚ z
slits	s l ˈɪ t s
slop	s l ˈɑ p
slope	s l ˈo ʊ p
slot	s l ˈɑ t
sloth	s l ˈo ʊ θ
slow	s l ˈo ʊ
slow-moving	s l ˈo ʊ m ˈu v ɪ ŋ
slower	s l ˈo ʊ ɚ
slowly	s l ˈo ʊ l i
slows	s l ˈo ʊ z
sludge	s l ˈʌ d͡ʒ
slunk	s l ˈʌ ŋ k
slurp	s l ˈɚ p
smack	s m ˈæ k
smacks	s m ˈæ k s
small	s m ˈɔ l
smaller	s m ˈɔ l ɚ
smallest	s m ˈɔ l ə s t
smalls	s m ˈɔ l z
smart	s m ˈɑ ɹ t
smarter	s m ˈɑ ɹ t ɚ
smartest	s m ˈɑ ɹ t ə s t
smash	s m ˈæ ʃ
smashed	s m ˈæ ʃ t
smashed-in	s m ˈæ ʃ t ˈɪ n
smashes	s m ˈæ ʃ ɪ z
smell	s m ˈɛ l
smelled	s m ˈɛ l d
smelling	s m ˈɛ l ˈɪ ŋ
smells	s m ˈɛ l z
smelly	s m ˈɛ l i
smelt	s m ɛ l t
smile	s m ˈa ɪ l
smiled	s m ˈa ɪ l d
smiles	s m ˈa ɪ l z
smiling	s m ˈa ɪ l ɪ ŋ
smirk	s m ˈɚ k
smirking	s m ˈɚ k ɪ ŋ
smirks	s m ˈɚ k s
smith	s m ˈɪ θ
smog	s m ˈɑ ɡ
smoggy	s m ˈɔ ɡ i
smoke	s m ˈo ʊ k
smoldering	s m ˈo ʊ l d ɚ ɹ ɪ ŋ
smooshing	s m ʊ ʃ ˈi ŋ
smooth	s m ˈu ð
smoothed	s m ˈu ð d
smoothly	s m ˈu ð l i
smooths	s m ˈu ð z
smouldering	s m ˈa ʊ l d ɚ ɹ ɪ ŋ
smug	s m ˈʌ ɡ
snack	s n ˈæ k
snacked	s n ˈæ k t
snacking	s n ˈæ k ɪ ŋ
snacks	s n ˈæ k s
snag	s n ˈæ ɡ
snagged	s n ˈæ ɡ d
snail	s n ˈe ɪ l
snails	s n ˈe ɪ l z
snake	s n ˈe ɪ k
snakes	s n ˈe ɪ k s
snap	s n ˈæ p
snap's	s n ˈæ p s
snapped	s n ˈæ p t
snaps	s n ˈæ p s
snarl	s n ˈɑ ɹ l
snarled	s n ˈɑ ɹ ə l d
snarls	s n ˈɑ ɹ l z
snatch	s n ˈæ t͡ʃ
snatched	s n ˈæ t͡ʃ t
snatches	s n ˈæ t͡ʃ ɪ z
sneak	s n ˈi k
sneaker	s n ˈi k ɚ
sneakers	s n ˈi k ɚ z
sneaks	s n ˈi k s
sneaky	s n ˈi k i
sneer	s n ˈɪ ɹ
sneeze	s n ˈi z
sneezed	s n ˈi z d
sneezes	s n ˈi z ɪ z
sneezing	s n ˌi z i ŋ
sniff	s n ˈɪ f
sniffed	s n ˈɪ f t
sniffing	s n ˈɪ f ɪ ŋ
sniffling	s n ˈɪ f l ɪ ŋ
sniffs	s n ˈɪ f s
snip	s n ˈɪ p
snipped	s n ˈɪ p t
snoop	s n ˈu p
snooze	s n ˈu z
snoring	s n ˈɔ ɹ ɪ ŋ
snort	s n ˈɔ ɹ t
snorts	s n ˈɔ ɹ t s
snot	s n ˈɑ t
snout	s n ˈa ʊ t
snouts	s n ˈa ʊ t s
snow	s n ˈo ʊ
snowflake	s n ˈo ʊ f l ˌe ɪ k
snowflakes	s n ˈo ʊ f l ˌe ɪ k s
snowman	s n o ʊ m ˌæ n
snows	s n ˈo ʊ z
snowy	s n ˈo ʊ i
snuck	s n ˈʌ k
snuffed	s n ˈʌ f t
snug	s n ˈʌ ɡ
snuggle	s n ˈʌ ɡ ə l
so	s ˈo ʊ
soak	s ˈo ʊ k
soaked	s ˈo ʊ k t
soaks	s ˈo ʊ k s
soap	s ˈo ʊ p
soaps	s ˈo ʊ p s
soapy	s ˈo ʊ p i
soar	s ˈɔ ɹ
soared	s ˈɔ d
soars	s ˈɔ ɹ z
sob	s ˈɑ b
soccer	s ˈɑ k ɚ
social	s ˈo ʊ ʃ ə l
society	s ə s ˈa ɪ ə t i
sock	s ˈɑ k
sock's	s ˈɑ k s
socks	s ˈɑ k s
soft	s ˈɔ f t
soften	s ˈɔ f ə n
softest	s ˈɔ f t ɪ s t
softly	s ˈɔ f t l i
soil	s ˈɔ ɪ l
solar	s ˈo ʊ l ɚ
sold	s ˈo ʊ l d
soldier	s ˈo ʊ l d͡ʒ ɚ
soldiers	s ˈo ʊ l d͡ʒ ɚ z
solemnly	s ˈɑ l ə m l i
solid	s ˈɑ l ɪ d
solution	s ə l ˈu ʃ ə n
solve	s ˈɑ l v
solved	s ˈɑ l v d
solves	s ˈɑ l v z
some	s ˈʌ m
somebody	s ˈʌ m b ˌɑ d i
somehow	s ˈʌ m h ˌa ʊ
someone	s ˈʌ m w ˌʌ n
someone's	s ˈʌ m w ˈʌ n z
something	s ˈʌ m θ ɪ ŋ
sometime	s ˈʌ m t ˌa ɪ m
sometimes	s ˈʌ m t ˌa ɪ m z
somewhere	s ˈʌ m w ˌɛ ɹ
somewheres	s ˈʌ m w ˌɛ ɹ z
son	s ˈʌ n
song	s ˈɔ ŋ
songs	s ˈɔ ŋ z
sons	s ˈʌ n z
sook	s ˈʊ k
soon	s ˈu n
sooner	s ˈu n ɚ
soot	s ˈʊ t
soothe	s ˈu ð
soothes	s ˈu ð z
soothsayer	s ˌu θ s ˈe ɪ ɚ
sore	s ˈɔ ɹ
sorrow	s ˈɑ ɹ o ʊ
sorry	s ˈɑ ɹ i
sort	s ˈɔ ɹ t
sorted	s ˈɔ ɹ t ɪ d
sorts	s ˈɔ ɹ t s
sos	ˈɛ s ˈo ʊ ˈɛ s
sought	s ˈɔ t
soul	s ˈo ʊ l
souls	s ˈo ʊ l z
sound	s ˈa ʊ n d
sounded	s ˈa ʊ n d ɪ d
sounding	s ˈa ʊ n d ɪ ŋ
sounds	s ˈa ʊ n d z
soup	s ˈu p
sour	s ˈa ʊ ɚ
source	s ˈɔ ɹ s
sources	s ˈɔ ɹ s ɪ z
south	s ˈa ʊ θ
southeast	s ˌa ʊ θ ˈi s t
sovereign	s ˈɑ v ɹ ə n
sow	s ˈo ʊ
sowed	s ˈo ʊ d
space	s p ˈe ɪ s
spaces	s p ˈe ɪ s ɪ z
spade	s p ˈe ɪ d
spades	s p ˈe ɪ d z
spare	s p ˈɛ ɹ
sparkly	s p ˈɑ ɹ k l i
sparks	s p ɑ ɹ k s
sparky	s p ˈɑ ɹ k ˈi
sparrow	s p ˈɛ ɹ ɹ o ʊ
spat	s p ˈæ t
spawn	s p ɔ n
spawned	s p ˈɔ n d
spawner	s p ˈɔ n ˈɚ
spawning	s p ɔ n i ŋ
spawns	s p ɔ n z
speak	s p ˈi k
speaking	s p ˈi k ɪ ŋ
speaks	s p ˈi k s
special	s p ˈɛ ʃ ə l
species	s p ˈi ʃ i z
specific	s p ɪ s ˈɪ f ɪ k
spectacle	s p ˈɛ k t ə k ə l
spectacles	s p ˈɛ k t ə k ə l z
speculating	s p ˈɛ k j ə l ˌe ɪ t ɪ ŋ
speech	s p ˈi t͡ʃ
speeches	s p ˈi t͡ʃ ə z
speed	s p ˈi d
speeding	s p ˈi d ɪ ŋ
speeds	s p ˈi d z
spell	s p ˈɛ l
spells	s p ˈɛ l z
spencer	s p ˈɛ n s ɚ
spend	s p ˈɛ n d
spending	s p ˈɛ n d ɪ ŋ
spends	s p ˈɛ n d z
spent	s p ˈɛ n t
spew	s p j ˈu
spewed	s p j ˈu d
spews	s p j ˈu z
spheres	s f ˈi ɹ z
spice	s p ˈa ɪ s
spicy	s p ˈa ɪ s i
spider	s p ˈa ɪ d ɚ
spider's	s p ˈa ɪ d ɚ z
spiders	s p ˈa ɪ d ɚ z
spied	s p ˈa ɪ d
spies	s p ˈa ɪ z
spike	s p ˈa ɪ k
spiked	s p ˈa ɪ k t
spikes	s p ˈa ɪ k s
spikey	s p ˈa ɪ k i
spiking	s p ˈa ɪ k ɪ ŋ
spiky	s p ˈa ɪ k ˈi
spill	s p ˈɪ l
spilled	s p ˈɪ l d
spills	s p ˈɪ l z
spilt	s p ˈɪ l t
spin	s p ˈɪ n
spinach	s p ˈɪ n ə t͡ʃ
spine	s p ˈa ɪ n
spines	s p ˈa ɪ n z
spinning	s p ˈɪ n ɪ ŋ
spins	s p ˈɪ n z
spirit	s p ˈɪ ɹ ɪ t
spit	s p ˈɪ t
spits	s p ˈɪ t s
splash	s p l ˈæ ʃ
splashed	s p l ˈæ ʃ t
splashes	s p l ˈæ ʃ ɪ z
splashing	s p l ˈæ ʃ ɪ ŋ
splat	s p l ˈæ t
splinter	s p l ˈɪ n t ɚ
splish	s p l ɪ ʃ
split	s p l ˈɪ t
splits	s p l ˈɪ t s
spluttering	s p l ˈʌ t t ɚ ɪ ŋ
spoil	s p ˈɔ ɪ l
spoiled	s p ˈɔ ɪ l d
spoils	s p ˈɔ ɪ l z
spoke	s p ˈo ʊ k
spoken	s p ˈo ʊ k ə n
spook	s p ˈu k
spooked	s p ˈu k t
spooks	s p ˈu k s
spooky	s p ˈu k i
spool	s p ˈu l
spoon	s p ˈu n
sport	s p ˈɔ ɹ t
sporting	s p ˈɔ ɹ t ɪ ŋ
sports	s p ˈɔ ɹ t s
spot	s p ˈɑ t
spotless	s p ˈɑ t l ə s
spots	s p ˈɑ t s
spotted	s p ˈɑ t ɪ d
spotty	s p ˈɑ t ˈi
spout	s p ˈa ʊ t
sprain	s p ɹ ˈe ɪ n
sprang	s p ɹ ˈæ ŋ
sprawl	s p ɹ ˈɔ l
spray	s p ɹ ˈe ɪ
sprayed	s p ɹ ˈe ɪ d
sprays	s p ɹ ˈe ɪ z
spread	s p ɹ ˈɛ d
spreading	s p ɹ ˈɛ d ɪ ŋ
spreads	s p ɹ ˈɛ d z
spring	s p ɹ ˈɪ ŋ
springs	s p ɹ ˈɪ ŋ z
sprinkle	s p ɹ ˈɪ ŋ k ə l
sprinkles	s p ɹ ɪ n k l z
sprint	s p ɹ ˈɪ n t
sprinting	s p ɹ ˈɪ n t ɪ ŋ
sprints	s p ɹ ˈɪ n t s
sprite	s p ɹ ˈa ɪ t
sprout	s p ɹ ˈa ʊ t
sprouted	s p ɹ ˈa ʊ t ɪ d
sprouts	s p ɹ a ʊ t s
spun	s p ˈʌ n
spurted	s p ˈɚ t ɪ d
spy	s p ˈa ɪ
squad	s k w ˈɑ d
square	s k w ˈe ɪ ɹ
squash	s k w ˈɑ ʃ
squashed	s k w ˈɑ ʃ t
squat	s k w ˈɑ t
squawk	s k w ˈɔ k
squawking	s k w ˈɔ k ɪ ŋ
squeak	s k w ˈi k
squeaks	s k w ˈi k s
squeal	s k w ˈi l
squeals	s k w ˈi l z
squeamish	s k w ˈi m ɪ ʃ
squeeze	s k w ˈi z
squeezed	s k w ˈi z d
squeezes	s k w ˈi z ɪ z
squelch	s k w ˈɛ l t͡ʃ
squelches	s k w ˈɛ l t͡ʃ ɪ z
squid	s k w ˈɪ d
squids	s k w ˈɪ d z
squiggles	s k w ˈɪ ɡ ə l z
squiggly	s k w ˈɪ ɡ l i
squire	s k w ˈa ɪ ɚ
squirming	s k w ˈɚ m ɪ ŋ
squirrel	s k w ˈɚ ɹ ə l
squirrels	s k w ˈɚ ə l z
squirt	s k w ə ɹ t
squished	s k w ˈɪ ʃ t
sri	ʃ ɹ ə
sss	s s
stable	s t ˈe ɪ b ə l
stack	s t ˈæ k
stacked	s t ˈæ k t
stacks	s t ˈæ k s
staff	s t ˈæ f
stag	s t ˈæ ɡ
stage	s t ˈe ɪ d͡ʒ
stages	s t ˈe ɪ d͡ʒ ɪ z
stags	s t ˈæ ɡ z
stair	s t ˈɛ ɹ
staircase	s t ˈɛ ɹ k ˌe ɪ s
staircases	s t ˈɛ ɹ k ˌe ɪ s ɪ z
stairs	s t ˈɛ ɹ z
stake	s t ˈe ɪ k
stakes	s t ˈe ɪ k s
stalk	s t ˈɔ k
stalked	s t ˈɔ k t
stalking	s t ˈɔ k ɪ ŋ
stalks	s t ˈɔ k s
stall	s t ˈɔ l
stalls	s t ˈɔ l z
stamen	s t ˈe ɪ m ə n
stamens	s t ˈe ɪ m ə n z
stammered	s t ˈæ m ɚ d
stamp	s t ˈæ m p
stamps	s t ˈæ m p s
stand	s t ˈæ n d
standards	s t æ n d ə d z
standing	s t ˈæ n d ɪ ŋ
stands	s t ˈæ n d z
stapler	s t ˈe ɪ p l ɚ
star	s t ˈɑ ɹ
star's	s t ˈɑ ɹ z
stare	s t ˈɛ ɹ
stared	s t ˈe ɪ ɹ d
stares	s t ˈɛ ɹ z
starfang	s t ˈɑ ɹ f ˈæ ŋ
starfang's	s t ˈɑ ɹ f ˈæ ŋ z
staring	s t ˈɛ ɹ ɪ ŋ
starling	s t ˈɑ ɹ l ɪ ŋ
starred	s t ˈɑ ɹ d
starry	s t ˈɑ ɹ i
stars	s t ˈɑ ɹ z
start	s t ˈɑ ɹ t
started	s t ˈɑ ɹ t ɪ d
starting	s t ˈɑ ɹ t ɪ ŋ
startled	s t ˈɑ ɹ t ə l d
starts	s t ˈɑ ɹ t s
starving	s t ˈɑ ɹ v ɪ ŋ
state	s t ˈe ɪ t
station	s t ˈe ɪ ʃ ə n
statue	s t ˈæ t͡ʃ ˌu
statues	s t ˈæ t͡ʃ ˌu z
stay	s t ˈe ɪ
stayed	s t ˈe ɪ d
staying	s t ˈe ɪ ɪ ŋ
stays	s t ˈe ɪ z
steady	s t ˈɛ d i
steak	s t ˈe ɪ k
steal	s t ˈi l
